Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25806629,SPQR: A History of Ancient Rome,Mary Beard,"Beard, Mary",,"=""1631491253""","=""9781631491252""",5,4.06,Liveright,Kindle Edition,607,2015,2015,2024/08/26,2021/12/26,,,read,,,,1,0
58678422,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,"=""0525556532""","=""9780525556534""",0,4.36,Dutton,Hardcover,304,2021,2021,,2022/03/02,to-read,to-read (#277),to-read,,,,0,0
38486710,The Lost Daughter,Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",0,3.73,Europa Editions,ebook,148,2008,2006,,2022/01/01,to-read,to-read (#106),to-read,,,,0,0
30156386,The da Vinci Code: The Young Adult Adaptation,Dan    Brown,"Brown, Dan",,"=""1524715824""","=""9781524715823""",2,4.50,Delacorte Press,Hardcover,416,2016,2003,,2024/07/04,,,read,,,,3,0
32279524,Blitzed: Drugs in the Third Reich,Norman Ohler,"Ohler, Norman",Shaun Whiteside,"=""""","=""""",0,4.05,Mariner Books,Kindle Edition,306,2017,2015,,2022/01/01,to-read,to-read (#90),to-read,,,,0,0
452235,"The Firm (The Firm, #1)",John Grisham,"Grisham, John",,"=""044021145X""","=""9780440211457""",3,4.25,Dell,Paperback,501,1992,1991,,2022/01/04,,,read,,,,1,0
7354,The Shipping News,Annie Proulx,"Proulx, Annie",,"=""0743225422""","=""9780743225427""",0,3.88,Scribner,Paperback,337,2002,1993,,2022/01/02,to-read,to-read (#136),to-read,,,,0,0
75494215,Eve: How the Female Body Drove 200 Million Years of Human Evolution,Cat Bohannon,"Bohannon, Cat",,"=""0385350546""","=""9780385350549""",0,4.27,Knopf,Hardcover,624,2023,2023,,2023/10/11,to-read,to-read (#495),to-read,,,,0,0
40916679,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,"=""1405293187""","=""9781405293181""",4,4.29,Electric Monkey,Paperback,433,2019,2019,2023/07/27,2022/01/18,,,read,,,,1,0
62039291,King: A Life,Jonathan Eig,"Eig, Jonathan",,"=""0374279292""","=""9780374279295""",0,4.65,"Farrar, Straus and Giroux",Hardcover,688,2023,2023,,2023/06/20,to-read,to-read (#494),to-read,,,,0,0
61273812,You Could Make This Place Beautiful,Maggie  Smith,"Smith, Maggie",,"=""1982185856""","=""9781982185855""",0,4.04,Atria/One Signal Publishers,Hardcover,320,2023,2023,,2023/06/20,to-read,to-read (#493),to-read,,,,0,0
60784605,Maame,Jessica George,"George, Jessica",,"=""""","=""""",0,4.05,St. Martin's Press,Hardcover,320,2023,2023,,2023/05/29,to-read,to-read (#492),to-read,,,,0,0
60784757,Birnam Wood,Eleanor Catton,"Catton, Eleanor",,"=""0374110336""","=""9780374110338""",0,3.80,"Farrar, Straus and Giroux",Hardcover,432,2023,2023,,2023/05/29,to-read,to-read (#491),to-read,,,,0,0
10587665,Light in August,William Faulkner,"Faulkner, William",,"=""""","=""""",4,3.94,Vintage,Kindle Edition,512,2011,1932,2023/05/27,2023/05/15,,,read,,,,1,0
17402288,Dept. of Speculation,Jenny Offill,"Offill, Jenny",,"=""0385350813""","=""9780385350815""",5,3.76,Knopf,Hardcover,179,2014,2014,2023/05/24,2022/01/15,,,read,,,,1,0
59148724,Under the Skin: The Hidden Toll of Racism on American Lives and on the Health of Our Nation,Linda Villarosa,"Villarosa, Linda",,"=""""","=""""",4,4.45,Doubleday,Hardcover,288,2022,2022,2023/05/23,2023/05/14,,,read,,,,1,0
10975,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""""","=""""",0,3.86,Vintage International,Paperback,366,1990,1929,,2023/05/22,to-read,to-read (#490),to-read,,,,0,0
12781,The Satanic Verses,Salman Rushdie,"Rushdie, Salman",,"=""0312270828""","=""9780312270827""",0,3.71,Picador,Paperback,561,1997,1988,,2023/05/22,to-read,to-read (#489),to-read,,,,0,0
61812836,Crook Manifesto,Colson Whitehead,"Whitehead, Colson",,"=""0385545150""","=""9780385545150""",0,3.86,Doubleday,Hardcover,336,2023,2023,,2023/05/22,to-read,to-read (#488),to-read,,,,0,0
58210933,Trust,Hernan Diaz,"Diaz, Hernan",,"=""0593420314""","=""9780593420317""",5,3.81,Riverhead Books,Hardcover,402,2022,2022,2023/03/16,2022/01/07,"6-stars-if-i-could, to-reread","6-stars-if-i-could (#11), to-reread (#11)",read,,,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",5,4.29,Modern Library,Paperback,279,2023,1813,,2021/12/26,"6-stars-if-i-could, to-reread","6-stars-if-i-could (#2), to-reread (#10)",read,,,,1,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",5,4.29,Doubleday,Hardcover,720,2015,2015,2022/05/02,2022/01/09,"6-stars-if-i-could, to-reread","6-stars-if-i-could (#10), to-reread (#9)",read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",4,4.16,Penguin,Paperback,532,2003,1846,,2021/12/26,to-reread,to-reread (#8),read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",5,3.93,Scribner,Paperback,180,1925,1925,,2021/12/26,"6-stars-if-i-could, to-reread","6-stars-if-i-could (#1), to-reread (#7)",read,,,,1,0
4395,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""""","=""""",5,4.02,Penguin Books,Paperback,455,2002,1939,,2021/12/26,to-reread,to-reread (#6),read,,,,1,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0307588378""","=""9780307588371""",5,4.14,Ballantine Books,Paperback,415,2014,2012,,2021/12/26,to-reread,to-reread (#5),read,,,,1,0
53835,The Age of Innocence,Edith Wharton,"Wharton, Edith",Maureen Howard,"=""159308143X""","=""9781593081430""",5,3.97,Barnes & Noble Classics,Paperback,293,2004,1920,2022/08/22,2022/01/02,to-reread,to-reread (#4),read,,,,1,0
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,"=""1400032717""","=""9781400032716""",5,3.89,Vintage,Paperback,226,2004,2003,,2021/12/26,to-reread,to-reread (#3),read,,,,1,0
22738563,We Should All Be Feminists,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""""","=""""",5,4.40,Vintage,Kindle Edition,52,2014,2012,,2021/12/26,to-reread,to-reread (#2),read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",5,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2021/12/26,to-reread,to-reread (#1),read,,,,1,0
14280,Runaway: Stories,Alice Munro,"Munro, Alice",,"=""1400077915""","=""9781400077915""",0,3.97,Vintage Contemporaries,Paperback,335,2005,2004,,2023/05/18,to-read,to-read (#487),to-read,,,,0,0
37426,Little Children,Tom Perrotta,"Perrotta, Tom",,"=""0312315732""","=""9780312315733""",0,3.64,St. Martin's Griffin,Paperback,355,2005,2004,,2023/05/18,,,read,,,,1,0
5015,Saturday,Ian McEwan,"McEwan, Ian",,"=""1400076196""","=""9781400076192""",0,3.64,Anchor,Paperback,289,2006,2005,,2023/05/18,to-read,to-read (#486),to-read,,,,0,0
703,The Plot Against America,Philip Roth,"Roth, Philip",,"=""1400079497""","=""9781400079490""",0,3.81,Vintage International,Paperback,391,2005,2004,,2023/05/18,to-read,to-read (#485),to-read,,,,0,0
12296,The Scarlet Letter,Nathaniel Hawthorne,"Hawthorne, Nathaniel","Nina Baym, Thomas E. Connolly","=""0142437263""","=""9780142437261""",0,3.44,Penguin Books,Paperback,279,2002,1850,,2023/05/18,to-read,to-read (#484),to-read,,,,0,0
30753828,The Road to Jonestown: Jim Jones and Peoples Temple,Jeff Guinn,"Guinn, Jeff",,"=""1476763828""","=""9781476763828""",0,4.16,Simon & Schuster,Hardcover,531,2017,2017,,2023/05/18,to-read,to-read (#483),to-read,,,,0,0
24911006,Missoula: Rape and the Justice System in a College Town,Jon Krakauer,"Krakauer, Jon",,"=""0385538731""","=""9780385538732""",0,4.12,Doubleday,Hardcover,368,2015,2015,,2023/05/18,to-read,to-read (#482),to-read,,,,0,0
6571972,Manhunt: The 12-Day Chase for Lincoln's Killer,James L. Swanson,"Swanson, James L.",,"=""""","=""""",0,4.16,,Kindle Edition,496,,2006,,2023/05/18,to-read,to-read (#481),to-read,,,,0,0
308251,Donnie Brasco,Joseph D. Pistone,"Pistone, Joseph D.",,"=""0451192575""","=""9780451192578""",0,4.08,Berkley,Mass Market Paperback,432,1997,1988,,2023/05/18,to-read,to-read (#480),to-read,,,,0,0
206899,"Devil's Knot: The True Story of the West Memphis Three (Justice Knot, #1)",Mara Leveritt,"Leveritt, Mara",,"=""0743417607""","=""9780743417600""",0,4.16,Atria Books,Paperback,419,2003,2002,,2023/05/18,to-read,to-read (#479),to-read,,,,0,0
105760,Zodiac,Robert Graysmith,"Graysmith, Robert",,"=""0425098087""","=""9780425098080""",0,3.91,Berkley,Mass Market Paperback,356,1987,1986,,2023/05/18,to-read,to-read (#478),to-read,,,,0,0
15654,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule,"Rule, Ann",,"=""0451203267""","=""9780451203267""",0,4.14,Signet,Mass Market Paperback,548,2001,1980,,2023/05/18,,,read,,,,1,0
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.85,Saga Press,ebook,209,2019,2019,,2023/05/17,to-read,to-read (#477),to-read,,,,0,0
71111,Black Mass,Dick Lehr,"Lehr, Dick",Gerard O'Neill,"=""0060959258""","=""9780060959258""",4,3.81,HarpPeren,Paperback,424,2001,2000,2023/05/17,2023/04/19,,,read,,,,1,0
61246258,Pineapple Street,Jenny   Jackson,"Jackson, Jenny",,"=""059349069X""","=""9780593490693""",0,3.55,Pamela Dorman Books,Hardcover,304,2023,2023,,2023/05/14,to-read,to-read (#476),to-read,,,,0,0
60784409,A House with Good Bones,T. Kingfisher,"Kingfisher, T.",,"=""1250829798""","=""9781250829795""",3,3.67,Tor Nightfire,Hardcover,247,2023,2023,2023/05/14,2023/05/06,,,read,,,,1,0
59575939,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong,"Yong, Ed",,"=""""","=""""",5,4.47,Random House,Hardcover,464,2022,2022,2023/05/14,2023/04/22,,,read,,,,1,0
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,"=""1579126278""","=""9781579126278""",4,4.26,Black Dog & Leventhal Publishers,Hardcover,288,2006,1926,2023/05/14,2023/05/08,,,read,,,,1,0
59089872,The Palace Papers: Inside the House of Windsor - the Truth and the Turmoil,Tina  Brown,"Brown, Tina",,"=""0593138090""","=""9780593138090""",5,4.03,Crown,Hardcover,571,2022,2022,2023/05/12,2023/04/30,,,read,,,,1,0
57846320,The School for Good Mothers,Jessamine Chan,"Chan, Jessamine",,"=""""","=""""",5,3.53,Simon & Schuster,Hardcover,336,2022,2022,2023/05/08,2022/08/10,,,read,,,,1,0
2623,Great Expectations,Charles Dickens,"Dickens, Charles","Kate Flint, Margaret Cardwell","=""0192833596""","=""9780192833594""",4,3.80,Oxford University Press,Paperback,544,1998,1861,2023/05/05,2021/12/26,,,read,,,,1,0
40268935,Barbarians at the Gate: The Fall of RJR Nabisco,Bryan Burrough,"Burrough, Bryan",,"=""""","=""""",4,4.28,HarperCollins e-books; Reprint edition,Kindle Edition,592,2009,1989,2023/04/26,2023/03/22,,,read,,,,1,0
43982054,The Water Dancer,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""""","=""""",0,4.06,One World,Hardcover,416,2019,2019,,2023/04/20,to-read,to-read (#475),to-read,,,,0,0
58734811,Bittersweet: How Sorrow and Longing Make Us Whole,Susan Cain,"Cain, Susan",,"=""0451499786""","=""9780451499783""",0,3.96,Crown,Hardcover,310,2022,2022,,2023/04/20,to-read,to-read (#474),to-read,,,,0,0
54860592,The Husbands,Chandler Baker,"Baker, Chandler",,"=""125031951X""","=""9781250319517""",0,3.47,Flatiron Books,Hardcover,346,2021,2021,,2023/04/20,to-read,to-read (#473),to-read,,,,0,0
55964195,Hell of a Book,Jason Mott,"Mott, Jason",,"=""059333096X""","=""9780593330968""",0,4.03,Dutton,Hardcover,323,2021,2021,,2023/04/20,to-read,to-read (#472),to-read,,,,0,0
59569448,The Island of Missing Trees,Elif Shafak,"Shafak, Elif",,"=""1635578590""","=""9781635578591""",0,4.15,Bloomsbury Publishing,Hardcover,368,2021,2021,,2023/04/20,to-read,to-read (#471),to-read,,,,0,0
62628727,Romantic Comedy,Curtis Sittenfeld,"Sittenfeld, Curtis",,"=""0399590943""","=""9780399590948""",0,3.62,Random House,Hardcover,309,2023,2023,,2023/04/20,to-read,to-read (#470),to-read,,,,0,0
92303,The Importance of Being Earnest,Oscar Wilde,"Wilde, Oscar",,"=""158049580X""","=""9781580495806""",0,4.17,Prestwick House,Paperback,89,2005,1895,,2023/03/29,to-read,to-read (#469),to-read,,,,0,0
46041465,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,"=""0062968785""","=""9780062968784""",2,3.95,Harper,Hardcover,368,2020,2018,,2023/03/27,,,read,"Oof. DNF. Which I don’t do very often. Life is too short to read books that aren’t good. After reading some truly excellent memoirs, I might be spoiled. ",,,1,0
218891,"Taking the Waters: Spirit, Art, Sensuality",Alev Lytle Croutier,"Croutier, Alev Lytle",,"=""1558592199""","=""9781558592193""",0,3.68,Abbeville Pr,Hardcover,224,1992,1992,,2023/03/26,to-read,to-read (#468),to-read,,,,0,0
61053829,I Have Some Questions for You,Rebecca Makkai,"Makkai, Rebecca",,"=""0593490142""","=""9780593490143""",4,3.59,Viking,Hardcover,438,2023,2023,2023/03/25,2023/03/06,,,read,,,,1,0
57127277,Kaikeyi,Vaishnavi Patel,"Patel, Vaishnavi",,"=""0759557330""","=""9780759557338""",0,4.18,Redhook,Hardcover,478,2022,2022,,2023/03/23,to-read,to-read (#467),to-read,,,,0,0
61361681,Clytemnestra,Costanza Casati,"Casati, Costanza",,"=""1728268230""","=""9781728268231""",0,4.23,Sourcebooks Landmark,Hardcover,435,2023,2023,,2023/03/23,to-read,to-read (#466),to-read,,,,0,0
57717410,The 1619 Project: A New Origin Story,Nikole Hannah-Jones,"Hannah-Jones, Nikole",The New York Times Magazine,"=""0593230574""","=""9780593230572""",5,4.61,One World,Hardcover,590,2021,2019,2023/03/23,2022/11/13,,,read,,,,1,0
3876,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",5,3.79,Pan Books,Paperback,189,1957,1926,,2022/01/01,6-stars-if-i-could,6-stars-if-i-could (#7),read,,,,2,0
16142053,"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright,"Wright, Lawrence",,"=""0307700666""","=""9780307700667""",5,4.04,Alfred A. Knopf,Hardcover,430,2013,2013,,2023/03/22,,,read,,,,1,0
40961608,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,Timothy Egan,"Egan, Timothy",,"=""0547347774""","=""9780547347776""",0,4.06,Houghton Mifflin Harcourt,Kindle Edition,352,2018,2005,,2023/03/22,,,read,,,,1,0
139069,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,"=""""","=""""",0,4.46,Carroll & Graf Publishers,Hardcover,282,1999,1959,,2023/03/22,to-read,to-read (#465),to-read,,,,0,0
17780,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,"Philbrick, Nathaniel",,"=""0141001828""","=""9780141001821""",0,4.16,Penguin Books,Paperback,302,2001,2000,,2023/03/22,to-read,to-read (#464),to-read,,,,0,0
13158800,The Light Between Oceans,M.L. Stedman,"Stedman, M.L.",,"=""1451681739""","=""9781451681734""",4,4.04,Scribner,Hardcover,362,2012,2012,2023/03/21,2022/01/14,,,read,,,,1,0
61327450,Pathogenesis: A History of the World in Eight Plagues,Jonathan     Kennedy,"Kennedy, Jonathan",,"=""0593240472""","=""9780593240472""",0,3.93,Crown,Hardcover,304,2023,2023,,2023/03/20,to-read,to-read (#463),to-read,,,,0,0
60177466,Age of Vice,Deepti Kapoor,"Kapoor, Deepti",,"=""0593328795""","=""9780593328798""",0,3.61,Riverhead,Hardcover,544,2023,2023,,2023/03/17,to-read,to-read (#462),to-read,,,,0,0
45013993,In the Time of the Butterflies,Julia Alvarez,"Alvarez, Julia",,"=""1565129768""","=""9781565129764""",0,4.15,Algonquin Books,Paperback,337,2019,1994,,2023/03/17,to-read,to-read (#461),to-read,,,,0,0
