year,title,author,isbn13
2022,"November 9",Colleen Hoover,978-1-5011-1034-4
2022,"The Midnight Library",Matt Haig,978-0-525-55947-4
2022,"Fairy Tale",Stephen King,978-1-6680-0217-9
2022,"The Light We Carry",Michelle Obama,978-0-593-23746-5
2022,"I'm Glad My Mom Died",Jennette McCurdy,978-1-9821-8582-4
2022,"Book Lovers",Emily Henry,978-0-593-33483-6
2022,"The Lincoln Highway",Amor Towles,978-0-7352-2235-9
2022,"The Maid",Nita Prose,978-0-593-35615-9
2022,"The Seven Moons of Maali Almeida",Shehan Karunatilaka,978-0-393-24227-2
2022,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,978-0-593-32120-1
2022,"The Paris Apartment",Lucy Foley,978-0-06-300305-7
2022,"Horse",Geraldine Brooks,978-0-399-56296-9
2022,"Sea of Tranquility",Emily St. John Mandel,978-0-593-32144-7
2022,"The Rabbit Hutch",Tess Gunty,978-0-593-32144-7
2022,"Run, Rose, Run",Dolly Parton & James Patterson,978-0-7595-5434-4
2022,"The Judge's List",John Grisham,978-0-385-54602-9
2022,"The Song of Achilles",Madeline Miller,978-0-06-206061-7
2022,"Circe",Madeline Miller,978-0-316-55634-7
2022,"All About Love: New Visions",bell hooks,978-0-06-095947-0
2022,"The House in the Cerulean Sea",TJ Klune,978-1-250-21728-8
2022,"Atomic Habits",James Clear,978-0-7352-1129-2
2022,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,978-0-06-297658-1
2022,"The 1619 Project: A New Origin Story",Nikole Hannah-Jones,978-0-593-23057-2
2022,"An Immense World",Ed Yong,978-0-593-13323-1
2022,"The Sentence",Louise Erdrich,978-0-06-267112-7
2022,"When Women Were Dragons",Kelly Barnhill,978-0-385-54822-1
2022,"The Personal Librarian",Marie Benedict & Victoria Christopher Murray,978-0-593-10183-4
2022,"The Dictionary of Lost Words",Pip Williams,978-0-593-16021-3
2022,"Glory",NoViolet Bulawayo,978-0-593-29643-1
2022,"Small Things Like These",Claire Keegan,978-0-8021-5871-0
2022,"Treacle Walker",Alan Garner,978-0-00-847632-5
2022,"The Trees",Percival Everett,978-1-64445-063-9
2022,"Oh William!",Elizabeth Strout,978-0-8129-9654-0
2022,"The Colony",Audrey Magee,978-0-8021-5982-3
2022,"Nightcrawling",Leila Mottley,978-0-593-31893-5
2022,"Booth",Karen Joy Fowler,978-0-593-32148-5
2022,"The Book of Form and Emptiness",Ruth Ozeki,978-0-399-56364-5
2022,"The Netanyahus",Joshua Cohen,978-1-68137-607-7
2022,"The Love Songs of W.E.B. Du Bois",Honorée Fanonne Jeffers,978-0-06-294294-4
2022,"Shrines of Gaiety",Kate Atkinson,978-0-385-54797-0
2022,"How Not to Drown in a Glass of Water",Angie Cruz,978-1-250-20845-3
2022,"Finding Me",Viola Davis,978-0-06-303732-8
2022,"You Made a Fool of Death With Your Beauty",Akwaeke Emezi,978-1-9821-8870-2
2022,"Lesser Known Monsters of the 21st Century",Kim Fu,978-1-953534-09-4
2022,"Didn't Nobody Give a Shit What Happened to Carlotta",James Hannaham,978-0-316-26402-1
2022,"Shy: The Alarmingly Outspoken Memoirs of Mary Rodgers",Mary Rodgers & Jesse Green,978-0-374-60111-9
2022,"Signal Fires",Dani Shapiro,978-0-593-32130-0
2022,"This Time Tomorrow",Emma Straub,978-0-593-24649-8
2022,"Checkout 19",Claire-Louise Bennett,978-0-593-31680-1
2022,"The Hacienda",Isabel Cañas,978-0-593-43669-1
2022,"Devil House",John Darnielle,978-0-374-28091-8
2022,"Getting Lost",Annie Ernaux,978-1-64421-229-8
2022,"Olga Dies Dreaming",Xochitl Gonzalez,978-1-250-78617-3
2022,"Bliss Montage",Ling Ma,978-0-374-60474-5
2022,"Lessons",Ian McEwan,978-0-593-44921-9
2022,"Dinosaurs",Lydia Millet,978-0-393-86801-2
2022,"How High We Go In the Dark",Sequoia Nagamatsu,978-0-06-307262-6
2022,"The Marriage Portrait",Maggie O'Farrell,978-0-593-32062-4
2022,"South to America",Imani Perry,978-0-06-297748-9
2022,"Young Mungo",Douglas Stuart,978-0-8021-5955-7
2022,"Siren Queen",Nghi Vo,978-1-250-78883-2
2022,"The School for Good Mothers",Jessamine Chan,978-1-9821-5612-1
2022,"Afterlives",Abdulrazak Gurnah,978-0-593-42039-3
2022,"The Hero of This Book",Elizabeth McCracken,978-0-06-297127-2
2022,"Liberation Day",George Saunders,978-0-593-44922-6
2022,"Strangers to Ourselves",Rachel Aviv,978-0-374-60055-6
2022,"Ducks: Two Years in the Oil Sands",Kate Beaton,978-1-77046-289-2
2022,"Vladimir",Julia May Jonas,978-1-9821-8306-6
2021,"The Four Winds",Kristin Hannah,978-1-250-17860-2
2021,"The Last Thing He Told Me",Laura Dave,978-1-5011-7134-5
2021,"Klara and the Sun",Kazuo Ishiguro,978-0-593-31817-1
2021,"Project Hail Mary",Andy Weir,978-0-593-13520-4
2021,"Crying in H Mart: A Memoir",Michelle Zauner,978-0-525-65774-3
2021,"A Court of Silver Flames",Sarah J. Maas,978-1-63557-658-0
2021,"Cloud Cuckoo Land",Anthony Doerr,978-1-9821-6843-8
2021,"The Hill We Climb",Amanda Gorman,978-0-593-46527-1
2021,"Billy Summers",Stephen King,978-1-9821-7361-6
2021,"Malibu Rising",Taylor Jenkins Reid,978-1-5247-9865-9
2021,"The Love Hypothesis",Ali Hazelwood,978-0-593-33682-3
2021,"People We Meet on Vacation",Emily Henry,978-1-9848-0675-8
2021,"Beautiful World, Where Are You",Sally Rooney,978-0-374-60260-4
2021,"Apples Never Fall",Liane Moriarty,978-1-250-22025-7
2021,"The Promise",Damon Galgut,978-1-60945-658-0
2021,"Hell of a Book",Jason Mott,978-0-593-33096-8
2021,"The Paper Palace",Miranda Cowley Heller,978-0-593-32982-5
2021,"The Wish",Nicholas Sparks,978-1-5387-2862-8
2021,"Sooley",John Grisham,978-0-385-54768-0
2021,"The President's Daughter",Bill Clinton & James Patterson,978-0-316-27716-8
2021,"The Anthropocene Reviewed",John Green,978-0-525-55521-6
2021,"The Vanishing Half",Brit Bennett,978-0-525-53629-1
2021,"Hamnet",Maggie O'Farrell,978-0-525-65760-6
2021,"Harlem Shuffle",Colson Whitehead,978-0-385-54513-8
2021,"The Madness of Crowds",Louise Penny,978-1-250-14526-0
2021,"Caste: The Origins of Our Discontents",Isabel Wilkerson,978-0-593-23025-1
2021,"Untamed",Glennon Doyle,978-1-9848-0125-8
2021,"A Promised Land",Barack Obama,978-1-5247-6316-9
2021,"World Travel: An Irreverent Guide",Anthony Bourdain & Laurie Woolever,978-0-06-280279-8
2021,"Peril",Bob Woodward & Robert Costa,978-1-9821-8291-5
2021,"Finding the Mother Tree",Suzanne Simard,978-0-525-65609-8
2021,"The Premonition: A Pandemic Story",Michael Lewis,978-0-393-88155-4
2021,"The Code Breaker",Walter Isaacson,978-1-9821-1585-2
2021,"A Swim in a Pond in the Rain",George Saunders,978-1-9848-5602-9
2021,"The Storyteller: Tales of Life and Music",Dave Grohl,978-0-06-307609-9
2021,"The House in the Cerulean Sea",TJ Klune,978-1-250-21728-8
2021,"The Overstory",Richard Powers,978-0-393-35668-7
2021,"Dune",Frank Herbert,978-0-441-01359-3
2021,"The Night Watchman",Louise Erdrich,978-0-06-267118-9
2021,"The Dutch House",Ann Patchett,978-0-06-296367-3
2021,"One Last Stop",Casey McQuiston,978-1-250-24447-5
2021,"Braiding Sweetgrass",Robin Wall Kimmerer,978-1-57131-356-0
2021,"The Body Keeps the Score",Bessel van der Kolk, M.D.,978-0-14-312774-1
2021,"Sapiens: A Brief History of Humankind",Yuval Noah Harari,978-0-06-231609-7
2021,"Entangled Life",Merlin Sheldrake,978-0-525-51032-9
2021,"The Four Agreements",Don Miguel Ruiz,978-1-878424-31-0
2021,"Hood Feminism",Mikki Kendall,978-0-525-56054-8
2021,"Nomadland",Jessica Bruder,978-0-393-35631-1
2021,"Minor Feelings: An Asian American Reckoning",Cathy Park Hong,978-1-9848-2036-5
2021,"The Warmth of Other Suns",Isabel Wilkerson,978-0-679-76388-8
2021,"On Tyranny",Timothy Snyder,978-0-8041-9011-4
2021,"The Color of Law",Richard Rothstein,978-1-63149-285-3
2021,"They Both Die at the End",Adam Silvera,978-0-06-245779-0
2021,"We Were Liars",E. Lockhart,978-0-385-74126-2
2021,"Firekeeper's Daughter",Angeline Boulley,978-1-250-76656-4
2021,"One of Us Is Lying",Karen M. McManus,978-1-5247-1468-0
2021,"Concrete Rose",Angie Thomas,978-0-06-284671-6
2021,"Stamped: Racism, Antiracism, and You",Jason Reynolds & Ibram X. Kendi,978-0-316-45369-1
2021,"The Hate U Give",Angie Thomas,978-0-06-249853-3
2021,"The Book Thief",Markus Zusak,978-0-375-84220-7
2021,"Legendborn",Tracy Deonn,978-1-5344-4160-6
2021,"Cemetery Boys",Aiden Thomas,978-1-250-25046-9
2021,"Iron Widow",Xiran Jay Zhao,978-0-7352-6993-4
2021,"These Violent Delights",Chloe Gong,978-1-5344-5769-0
2021,"Change Sings: A Children's Anthem",Amanda Gorman & Loren Long,978-0-593-20322-4
2021,"We Are Water Protectors",Carole Lindstrom & Michaela Goade,978-1-250-20355-7
2021,"Antiracist Baby",Ibram X. Kendi & Ashley Lukashevsky,978-0-593-11050-8
2021,"Eyes That Kiss in the Corners",Joanna Ho & Dung Ho,978-0-06-291562-7
2021,"Matrix",Lauren Groff,978-0-593-33171-2
2021,"Zorrie",Laird Hunt,978-1-63557-536-1
2021,"The Prophets",Robert Jones, Jr.,978-0-593-08568-4
2021,"Winter in Sokcho",Elisa Shua Dusapin,978-1-948830-21-1
2021,"When You Trap a Tiger",Tae Keller,978-1-5247-1578-6
2021,"Everything Sad Is Untrue (A True Story)",Daniel Nayeri,978-1-64614-000-8
2020,"A Promised Land",Barack Obama,978-1-5247-6316-9
2020,"The Vanishing Half",Brit Bennett,978-0-525-53629-1
2020,"Caste: The Origins of Our Discontents",Isabel Wilkerson,978-0-593-23025-1
2020,"Midnight Sun",Stephenie Meyer,978-0-316-70704-6
2020,"The Ballad of Songbirds and Snakes",Suzanne Collins,978-1-338-63517-1
2020,"Untamed",Glennon Doyle,978-1-9848-0125-8
2020,"Anxious People",Fredrik Backman,978-1-5011-6083-7
2020,"The Splendid and the Vile",Erik Larson,978-0-385-34871-3
2020,"American Dirt",Jeanine Cummins,978-1-250-20976-4
2020,"The Guest List",Lucy Foley,978-0-06-286893-0
2020,"If It Bleeds",Stephen King,978-1-9821-3797-7
2020,"A Time for Mercy",John Grisham,978-0-385-54596-1
2020,"The Return",Nicholas Sparks,978-0-593-24100-4
2020,"The Invisible Life of Addie LaRue",V.E. Schwab,978-0-7653-8756-1
2020,"Shuggie Bain",Douglas Stuart,978-0-8021-4804-9
2020,"Interior Chinatown",Charles Yu,978-0-307-90718-7
2020,"The Evening and the Morning",Ken Follett,978-0-525-95498-9
2020,"Camino Winds",John Grisham,978-0-385-54593-0
2020,"Too Much and Never Enough",Mary L. Trump,978-1-9821-4146-2
2020,"Greenlights",Matthew McConaughey,978-0-593-13913-4
2020,"Ready Player Two",Ernest Cline,978-1-5247-6133-2
2020,"Leave the World Behind",Rumaan Alam,978-0-06-266763-2
2020,"Dog Man: Grime and Punishment",Dav Pilkey,978-1-338-53562-4
2020,"The Deep End (Diary of a Wimpy Kid #15)",Jeff Kinney,978-1-4197-4868-4
2020,"White Fragility",Robin DiAngelo,978-0-8070-4741-5
2020,"How to Be an Antiracist",Ibram X. Kendi,978-0-525-50928-8
2020,"The Room Where It Happened",John Bolton,978-1-9821-4803-4
2020,"Little Fires Everywhere",Celeste Ng,978-0-7352-2429-2
2020,"Becoming",Michelle Obama,978-1-5247-6313-8
2020,"Live Free or Die",Sean Hannity,978-1-5011-8625-7
2020,"Rage",Bob Woodward,978-1-9821-3176-0
2020,"The Silent Patient",Alex Michaelides,978-1-250-30169-7
2020,"The Giver of Stars",Jojo Moyes,978-0-399-56248-8
2020,"The Institute",Stephen King,978-1-9821-1056-7
2020,"The Guardians",John Grisham,978-0-385-54418-6
2020,"The Testaments",Margaret Atwood,978-0-385-54378-3
2020,"Olive, Again",Elizabeth Strout,978-0-8129-9654-0
2020,"The Water Dancer",Ta-Nehisi Coates,978-0-399-59059-7
2020,"Such a Fun Age",Kiley Reid,978-0-525-54192-9
2020,"A Children’s Bible",Lydia Millet,978-0-393-60893-6
2020,"The Secret Lives of Church Ladies",Deesha Philyaw,978-1-949199-73-4
2020,"A Burning",Megha Majumdar,978-0-525-65868-9
2020,"The Great Offshore Grounds",Vanessa Veselka,978-0-525-65802-3
2020,"Dirt: Adventures in Lyon as a Chef in Training...",Bill Buford,978-0-307-27101-3
2020,"The Best of Me",David Sedaris,978-0-316-62824-2
2020,"Network Effect",Martha Wells,978-1-250-22986-1
2020,"On Ajayi Crowther Street",Elnathan John & Àlàbá Ònájìn,978-1-911115-90-8
2020,"The Sparrow",Mary Doria Russell,978-0-679-45150-1
2020,"A Wilderness of Error",Errol Morris,978-1-59420-343-5
